"Tuesday, November 14"
174: Sage Heller (Hofstra) over Austin Rose (Drexel) (Fall 2:11)
184: Alexander DeCiantis (Drexel) over Anthony Oliveri (Hofstra) (MD 12-3)
197: Stephen Loiseau (Drexel) over Nezar Haddad (Hofstra) (Dec 6-2)
285: Mike Hughes (Hofstra) over Vincenzo Pelusi (Drexel) (Fall 4:07)

"Campbell 44, The Citadel 6"
125: Korbin Meink (Campbell) over William Jacobs (The Citadel) (Fall 1:19)
133: Nathan Boston (Campbell) over Nicholas Long (The Citadel) (Fall 0:56)
141: Douglas Gudenburr (The Citadel) over Luke Stewart (Campbell) (Dec 9-3)
149: Zachary Barnes (Campbell) over Tyler Buckiso (The Citadel) (Dec 6-3)
157: Austin Kraisser (Campbell) over Rian Burris (The Citadel) (Fall 5:38)
165: Quentin Perez (Campbell) over William Curtis (The Citadel) (Fall 1:15)
174: Andrew Morgan (Campbell) over Michael Mewhorter (The Citadel) (Fall 1:49)
184: Luke Funck (Campbell) over Michael Lopouchanski (The Citadel) (Fall 2:01)
197: Sawyer Root (The Citadel) over Chris Kober (Campbell) (Dec 8-6)
285: Jere Heino (Campbell) over Michael McAleavey (The Citadel) (TF 17-0 4:41)

"Binghamton 38, Sacred Heart 6"
125: Joe Nelson (Binghamton University) wins by forfeit
133: Tim Johnson (Sacred Heart) over Steven Bulzomi (Binghamton University) (Dec 10-4)
141: Joseph Russ (Binghamton University) over Shaun Williams (Sacred Heart) (Fall 2:26)
149: Frank Garcia (Binghamton University) over Alex Harnsberger (Sacred Heart) (Dec 4-1)
157: Dylan Wood (Binghamton University) over Adrian Nelson (Sacred Heart) (MD 11-2)
165: Vincent Deprez (Binghamton University) over William Schmidt (Sacred Heart) (Fall 1:24)
174: Anthony Lombardo (Binghamton University) over Tom Grosso (Sacred Heart) (MD 19-5)
184: Steven Schneider (Binghamton University) over Joe Toci (Sacred Heart) (Fall 2:25)
197: Alexander Melikian (Binghamton University) over Mark Boyle (Sacred Heart) (Dec 6-2)
285: John Hartnett (Sacred Heart) over Sean Dee (Binghamton University) (Dec 4-3)

"Oklahoma State 24, Northern Iowa 10"
125: Nicholas Piccininni (Oklahoma State) over Jacob Schwarm (Northern Iowa) (MD 12-2)
133: Kaid Brock (Oklahoma State) over Jack Wagner (Northern Iowa) (MD 14-6)
141: Dean Heil (Oklahoma State) over Josh Alber (Northern Iowa) (Dec 4-1)
149: Max Thomsen (Northern Iowa) over Boo Lewallen (Oklahoma State) (SV-1 3-1)
157: Jonce Blaylock (Oklahoma State) over Logan Ryan (Northern Iowa) (Dec 5-2)
165: Chandler Rogers (Oklahoma State) over Daniel Kelly (Northern Iowa) (SV-1 7-5)
174: Taylor Lujan (Northern Iowa) over Hestin Lamons (Oklahoma State) (Dec 7-4)
184: Drew Foster (Northern Iowa) over Keegan Moore (Oklahoma State) (MD 12-2)
197: Preston Weigel (Oklahoma State) over Jacob Holschlag (Northern Iowa) (Dec 4-3)
285: Derek White (Oklahoma State) over Carter Isley (Northern Iowa) (MD 8-0)

"Duke 19, Virginia 16"
157: Mitch Finesilver (Duke) over Fred Green (Virginia) (TF 16-0 4:24)
165: Andrew Atkinson (Virginia) over Zach Finesilver (Duke) (Dec 6-5)
174: Matt Finesilver (Duke) over Will Schany (Virginia) (Dec 8-2)
184: Drew Peck (Virginia) over Luke Farinaro (Duke) (Dec 6-2)
197: Alec Schenk (Duke) over Jay Aiello (Virginia) (Dec 9-7)
285: Jacob Kasper (Duke) over Tyler Love (Virginia) (TF 19-4 7:00)
125: Louie Hayes (Virginia) over Thayer Atkins (Duke) (Dec 1-0)
133: Jack Mueller (Virginia) over Josh Finesilver (Duke) (Dec 5-0)
141: Jeremiah Reitz (Duke) over Sam Martino (Virginia) (Dec 4-2)
149: Sam Krivus (Virginia) over Brandon Leynaud (Duke) (MD 17-5)

"Penn 20, Harvard 18"
125: Nolan Hellickson (Harvard) wins by forfeit
133: Giovanni Ghione (Pennsylvania) over Ryan Friedman (Harvard) (Dec 5-2)
141: Alexander Jaffe (Harvard) over Tristin DeVincenzo (Pennsylvania) (FALL)
149: Hunter Ladnier (Harvard) over Joe Oliva (Pennsylvania) (Dec 7-2)
157: Joseph Velliquette (Pennsylvania) over Brock Wilson (Harvard) (Dec 4-1)
165: May Bethea (Pennsylvania) over Tyler Tarsi (Harvard) (MD 20-7)
174: Josef Johnson (Harvard) over Brian Krasowski (Pennsylvania) (Dec 3-1)
184: Joe Heyob (Pennsylvania) over Kanon Dean (Harvard) (Dec 4-1)
197: Frank Mattiace (Pennsylvania) over Logan Kirby (Harvard) (MD 10-1)
285: Tyler Hall (Pennsylvania) over Angus Cowell (Harvard) (Dec 5-2)

"Brown 25, Penn, 17"
"184: C.J. LaFragola (Brown) DEC Joe Heyob (Penn), 3-1,"
"197: Frank Mattiace (Penn) MD Tucker Ziegler (Brown), 11-2,"
"285: Ian Butterbrodt (Brown) DEC Tyler Hall (Penn), 6-3,"
125: Trey Keeley (Brown) wins via forfeit
"133: Gianni Ghione (Penn) FALL Hunter Kosco (Brown), 6:10"
"141: Zeke Salvo (Brown) FALL Tristin DeVincenzo (Penn), 1:23"
"149: Joe Oliva (Penn) DEC Zach Krause (Brown), 11-8,"
"157: Justin Staudenmayer (Brown) DEC Joe Velliquette (Penn), 7-3"
"165: No. 18 May Bethea (Penn) MD Jon Viruet (Brown), 12-4"
"174: Bryce Rogers (Brown) MD Quinton Hiles (Penn), 10-2"

"Virginia Tech 21, North Carolina 9"
"125: James Szymanski (UNC) dec. Ryan More (VT), 10-3"
"133: Dennis Gustafson (VT) dec. Zach Sherman (UNC), 6-0"
"141: Brent Moore (VT) dec. A.C. Headlee (UNC), 3-2"
"149: Ryan Blees (VT) dec. Troy Heilmann (UNC), 3-1 (SV-1)"
"157: Kennedy Monday (UNC) dec. Solomon Chishko (VT), 3-1 (SV-1)"
"165: David McFadden (VT) dec. Josh McClure (UNC), 11-6"
"174: Hunter Bolen (VT) maj. dec. Ethan Ramos (UNC), 14-6"
"184: Zack Zavatsky (VT) dec. Chip Ness (UNC), 4-3"
"197: Jared Haught (VT) dec. Danny Chaid (UNC), 6-2"
"285: Cory Daniel (UNC) dec. Andrew Dunn (VT), 3-2"
*VT deducted one team point for unsportsmanlike conduct

"Lock Haven 31, Cleveland State 6"
125: Luke Werner (Lock Haven) over John Martin (Cleveland State) (MD 10-1)
133: DJ Fehlman (Lock Haven) over Andrew Coghill (Cleveland State) (MD 15-2)
141: Evan Cheek (Cleveland State) over Kyle Shoop (Lock Haven) (Dec 11-7)
149: Ronald Perry (Lock Haven) over Ryan Ford (Cleveland State) (TF 15-0 3:15)
157: John Vaughn (Cleveland State) over Jon Ross (Lock Haven) (Dec 9-2)
165: Chance Marsteller (Lock Haven) over Georgio Poullas (Cleveland State) (Fall 2:10)
174: Jared Siegrist (Lock Haven) over Gabe Stark (Cleveland State) (Dec 6-2)
184: Corey Hazel (Lock Haven) over Nick Corba (Cleveland State) (Dec 4-2)
197: Trey Hartsock (Lock Haven) over John Kelby (Cleveland State) (Dec 6-3)
285: Thomas Haines (Lock Haven) over Collin Kelly (Cleveland State) (Dec 6-0)

"West Virginia 24, Northern Colorado 16"
125: Zeke Moisey (West Virginia) over Sean Cannon (Northern Colorado) (TF 15-0 7:00)
133: Rico Montoya (Northern Colorado) over Matthew Schmitt (West Virginia) (Dec 8-5)
141: Christian Monserrat (West Virginia) over Benjamin Polkowske (Northern Colorado) (MD 9-1)
149: Kyler Rea (West Virginia) over Jimmy Fate (Northern Colorado) (Fall 1:32)
157: Tyler Kinn (Northern Colorado) over Hunter Jones (West Virginia) (MD 16-6)
165: Keilan Torres (Northern Colorado) over Nick Kiussis (West Virginia) (Fall 2:58)
174: Parker VonEgidy (West Virginia) over Seth Bogulski (Northern Colorado) (Dec 6-4)
184: Brenden McRill (West Virginia) over Dylan Gabel (Northern Colorado) (Dec 3-1)
197: Jacob Smith (West Virginia) over Tanner Davis (Northern Colorado) (Dec 3-1)
285: Robert Winters (Northern Colorado) over Brandon Ngati (West Virginia) (SV-1 3-1)

"Oregon State 29, Cal Poly 11"
125: Ronnie Rios (Oregon State) over Yoshi Funakoshi (Cal Poly) (MD 16-3)
133: Devan Turner (Oregon State) over Tyler Schilling (Cal Poly) (Dec 6-2)
141: Jack Hathaway (Oregon State) over Jake Douglas (Cal Poly) (Fall 1:56)
149: Joshua Cortez (Cal Poly) over Josh Reyes (Oregon State) (Fall 7:46)
157: Hunter Willits (Oregon State) over Jett Moy (Cal Poly) (MD 14-6)
165: Rodney Williams (Oregon State) over Ryan Farina (Cal Poly) (Fall 5:00)
174: Myles Terry (Oregon State) over Killian Vendler (Cal Poly) (TF 16-1 4:02)
184: Mathew Wilhelm (Cal Poly) over Bob Coleman (Oregon State) (TF 16-1 6:18)
197: Corey Griego (Oregon State) over Thomas Lane (Cal Poly) (MD 13-3)
285: Amar Dhesi (Oregon State) wins by forfeit

"Sunday, February 4:"

"Iowa 33, Northwestern 2"
125: Spencer Lee (Iowa) over Sebastian Rivera (Northwestern) (Dec 7-4)
133: Paul Glynn (Iowa) over Colin Valdivez (Northwestern) (Dec 3-2)
141: Vincent Turk (Iowa) over Alexander McKenna (Northwestern) (MD 10-2)
149: Brandon Sorensen (Iowa) over Ryan Deakin (Northwestern) (SV-1 5-4)
157: Michael Kemerer (Iowa) over Shayne Oster (Northwestern) (TF 17-2 3:11)
165: Alex Marinelli (Iowa) over Michael Sepkle (Northwestern) (TF 23-8 7:00)
174: Johnny Sebastian (Northwestern) over Kaleb Young (Iowa) (Dec 9-4)
184: Mitchell Bowman (Iowa) over Mitch Sliga (Northwestern) (MD 9-1)
197: Cash Wilcke (Iowa) over Zachary Chakonis (Northwestern) (Dec 8-4)
285: Samuel Stoll (Iowa) over Conan Jennings (Northwestern) (Dec 2-0)
*Northwestern deducted team point for control of mat

"Nebraska 35, Michigan State 6"
"285: David Jensen (NEB) dec. Christian Rebottaro (MSU), 6-1"
"125: Rayvon Foley (MSU) dec. Mitchell Maginnis (NEB), 6-3"
"133: Jason Renteria (NEB) FALL Logan Griffin (MSU), 1:29"
"141: Chad Red (NEB) FALL Javier Gasca (MSU), 4:46"
"149: Collin Purinton (NEB) dec. Austin Eicher (MSU), 14-8"
"157: Tyler Berger (NEB) FALL Jake Tucker (MSU), 4:23"
"165: Isaiah White (NEB) major dec. Austin Hiles (MSU), 14-6"
"174: Logan Ritchie (MSU) dec. Beau Breske (NEB), 8-3"
"184: Taylor Venz (NEB) major dec. Shwan Shadaia (MSU), 11-1"
"197: Eric Schultz (NEB) dec. Nick May (MSU), 9-6"

"Illinois 23, Rutgers 12"
125: Travis Piotrowski (Illinois) wins by forfeit
133: Scott Delvecchio (Rutgers) over Dylan Duncan (Illinois) (Dec 3-1)
141: Michael Carr (Illinois) over Mike Vanschenkbrill (Rutgers) (Dec 10-4)
149: Eric Barone (Illinois) over Nicholas Santos (Rutgers) (Dec 3-2)
157: Kyle Langenderfer (Illinois) over John Vanschenkbrill (Rutgers) (Dec 8-6)
165: Isaiah Martinez (Illinois) over Richie Lewis (Rutgers) (TF 19-3 3:31)
174: Joe Grello (Rutgers) over David Riojas (Illinois) (Dec 6-2)
184: Emory Parker (Illinois) over Willie Scott (Rutgers) (Dec 4-3)
197: Anothy Messner (Rutgers) over Andre Lee (Illinois) (Dec 4-3)
285: Razohnn Gross (Rutgers) over Duece Rachal (Illinois) (Dec 5-2)

"South Dakota State 30, Iowa State 15"
125: Connor Brown (South Dakota State) over Sinjin Briggs (Iowa State) (Fall 2:07)
133: Seth Gross (South Dakota State) over Markus Simmons (Iowa State) (MD 12-3)
141: Henry Pohlmeyer (South Dakota State) wins by forfeit
149: Jarrett Degen (Iowa State) over Colten Carlson (South Dakota State) (TF 19-4 5:10)
157: Luke Zilverberg (South Dakota State) over Chase Straw (Iowa State) (Dec 10-7)
165: Logan Peterson (South Dakota State) over Skyler St. John (Iowa State) (TF 16-1 5:10)
174: David Kocer (South Dakota State) over Daniel Bush (Iowa State) (Dec 9-2)
184: Martin Mueller (South Dakota State) over Dane Pestano (Iowa State) (Dec 6-5)
197: Samuel Colbray (Iowa State) over Nate Rotert (South Dakota State) (Fall 5:22)
285: Marcus Harrington (Iowa State) over Alex Macki (South Dakota State) (MD 10-1)

"Wyoming 26, Oklahoma 9"
184: Chaz Polson (Wyoming) over Matt Waddell (Oklahoma) (TF 16-0 4:55)
197: Andrew Dixon (Oklahoma) over Luke Paine (Wyoming) (Dec 4-2)
285: Sam Eagan (Wyoming) over Connor Webb (Oklahoma) (Dec 8-4)
125: Christian Moody (Oklahoma) over Drake Foster (Wyoming) (SV-1 3-1)
133: Montorie Bridges (Wyoming) over Jacob Rubio (Oklahoma) (MD 11-1)
141: Bryce Meredith (Wyoming) over Mike Longo (Oklahoma) (TF 19-3 2:28)
149: Sam Turner (Wyoming) over Davion Jeffries (Oklahoma) (Dec 8-7)
157: Archie Colgan (Wyoming) over Justin Thomas (Oklahoma) (Dec 4-1)
165: Branson Ashworth (Wyoming) over Dawaylon Barnes (Oklahoma) (Dec 8-4)
174: Yoanse Mejias (Oklahoma) over Kyle Pope (Wyoming) (Dec 8-3)

"Cornell 20, Lock Haven 18"
125: Luke Werner (Lock Haven) over Noah Baughman (Cornell) (TF 17-1 5:37)
133: Charles Tucker (Cornell) over DJ Fehlman (Lock Haven) (Dec 6-4)
141: Yianni Diakomihalis (Cornell) over Kyle Shoop (Lock Haven) (TF 19-3 3:25)
149: Ronald Perry (Lock Haven) over William Koll (Cornell) (Dec 5-3)
157: Alex Klucker (Lock Haven) over Fredy Stroker (Cornell) (Dec 5-2)
165: Chance Marsteller (Lock Haven) over Kyle Simaz (Cornell) (MD 17-6)
174: Brandon Womack (Cornell) over Jared Siegrist (Lock Haven) (Dec 5-4)
184: Maxwell Dean (Cornell) over Corey Hazel (Lock Haven) (Dec 5-2)
197: Ben Darmstadt (Cornell) over Trey Hartsock (Lock Haven) (Fall 1:06)
285: Thomas Haines (Lock Haven) over Jeramy Sweany (Cornell) (Dec 9-3)

"Eastern Michigan 39, Kent State 9"
125: Tomas Gutierrez (Eastern Michigan) over Jake Ferri (Kent State) (Dec 9-8)
133: Anthony Tutolo (Kent State) over Noah Gonser (Eastern Michigan) (Dec 2-1)
141: Sa`Derian Perry (Eastern Michigan) over Tim Rooney (Kent State) (Fall 3:59)
149: Kyle Springer (Eastern Michigan) over Nicholas Monico (Kent State) (TF 22-7 7:00)
157: Casey Sparkman (Kent State) over James Wolfe (Eastern Michigan) (Dec 8-3)
165: Zachary Carson (Eastern Michigan) over Isaac Bast (Kent State) (Dec 6-5)
174: Andrew McNally (Eastern Michigan) over Dylan Barreiro (Kent State) (Fall 5:54)
184: Kayne MacCallum (Eastern Michigan) over Colin McCracken (Kent State) (Dec 3-1)
197: Kyle Conel (Kent State) over Jared Langley (Eastern Michigan) (Dec 8-4)
285: Gage Hutchison (Eastern Michigan) over Stephen Suglio (Kent State) (Fall 2:33)

"North Dakota State 33, Air Force 9"
149: Kyle Gliva (North Dakota State University) over Dane Robbins (Air Force) (Dec 3-2)
157: Clayton Ream (North Dakota State University) over Alex Mossing (Air Force) (Dec 5-1)
165: Andrew Fogarty (North Dakota State University) over Alexandre Lopouchanski (Air Force) (Fall 4:46)
174: Dylan Urbach (North Dakota State University) over Michael Billingsley (Air Force) (Dec 6-2)
184: Charley Popp (North Dakota State University) over Zen Ikehara (Air Force) (Dec 4-3)
197: Anthony McLaughlin (Air Force) over Cordell Eaton (North Dakota State University) (Dec 5-3)
285: Daniel Stibral (North Dakota State University) over Matt Wagner (Air Force) (Fall 6:14)
125: Paul Bianchi (North Dakota State University) over Anthony DeCesare (Air Force) (SV-1 3-1)
133: Cam Sykora (North Dakota State University) wins by forfeit
141: Alec Opsal (Air Force) over McGwire Midkiff (North Dakota State University) (MD 11-0)

"Brown 17, Princeton 15"
125: Matteo DeVincenzo (Princeton) over Donald Keeley (Brown) (Dec 4-2)
133: Hunter Kosco (Brown) over Jonathan Gomez (Princeton) (MD 12-4)
141: Ezekiel Salvo (Brown) over Jordan Reich (Princeton) (Dec 8-5)
149: Zach Krause (Brown) over Matthew Kolodzik (Princeton) (Dec 7-4)
157: Leonard Merkin (Princeton) over Justin Staudenmayer (Brown) (Dec 10-4)
165: Jonathan Schleifer (Princeton) over Jonathan Viruet (Brown) (Dec 8-5)
174: Bryce Rogers (Brown) over Matthew Gancayco (Princeton) (MD 13-5)
184: Christian LaFragola (Brown) over Kevin Parker (Princeton) (Dec 10-6)
197: Ian Baker (Princeton) over Tucker Ziegler (Brown) (Dec 5-2)
285: Patrick Brucki (Princeton) over Ian Butterbrodt (Brown) (Dec 4-1)

"Central Michigan 23, Old Dominion 13"
125: Michael McGee (Old Dominion) over Drew Hildebrandt (Central Michigan) (Dec 3-2)
133: Caleb Richardson (Old Dominion) over Dresden Simon (Central Michigan) (Dec 5-2)
141: Mason Smith (Central Michigan) over Mason Wohltman (Old Dominion) (Fall 2:52)
149: Alex Madrigal (Old Dominion) over Nolan Saxton (Central Michigan) (Dec 1-0)
157: Larry Early (Old Dominion) over Blake Montrie (Central Michigan) (MD 10-2)
165: Logan Parks (Central Michigan) over Luke Drugac (Old Dominion) (Dec 8-1)
174: Christian Brucki (Central Michigan) over Seldon Wright (Old Dominion) (Dec 4-1)
184: Jordan Ellingwood (Central Michigan) over Antonio Agee (Old Dominion) (MD 12-4)
197: Jordan Atienza (Central Michigan) over Noah Bushman (Old Dominion) (MD 12-4)
285: Matt Stencel (Central Michigan) over Ali Wahab (Old Dominion) (Dec 7-2)

"Appalachian State 18, Chattanooga 16"
125: Alonzo Allen (Chattanooga) over DeAndre Swinson-Barr (Appalachian State) (Dec 3-1)
133: Codi Russell (Appalachian State) over Chris Debien (Chattanooga) (Fall 4:12)
141: Mike Pongracz (Chattanooga) over Irvin Enriquez (Appalachian State) (MD 9-1)
149: Roman Boylen (Chattanooga) over Gavin Londoff (Appalachian State) (SV-1 4-2)
157: Angel Najar (Appalachian State) over Jake Adcock (Chattanooga) (Dec 7-4)
165: Chad Pyke (Chattanooga) over Laken Cook (Appalachian State) (Dec 8-5)
174: Forrest Przybysz (Appalachian State) over Justin Lampe (Chattanooga) (SV-1 4-2)
184: Bryce Carr (Chattanooga) over Alan Clothier (Appalachian State) (Dec 9-4)
197: Randall Diabe (Appalachian State) over Scottie Boykin (Chattanooga) (Dec 3-2)
285: Cary Miller (Appalachian State) over Connor Tolley (Chattanooga) (Dec 7-5)

"American 32, Bucknell 11"
133: Josh Terao (American) over David Campbell (Bucknell) (MD 10-1)
141: Tyler Smith (Bucknell) over Jack Mutchnik (American) (Dec 4-0)
149: Michael Sprague (American) over Matt Kolonia (Bucknell) (TF 18-1 6:21)
157: Eric Hong (American) over Christian Bassolino (Bucknell) (Fall 1:38)
165: DJ Hollingshead (Bucknell) over Anthony Wokasch (American) (MD 14-6)
174: Michael Eckhart (American) over Nick Stephani (Bucknell) (Dec 5-3)
184: Drew Phipps (Bucknell) over Connor Allshouse (American) (MD 10-2)
197: Jeric Kasunic (American) over Chad Reese (Bucknell) (Fall 0:52)
285: Brett Dempsey (American) over Brandon Stokes (Bucknell) (Dec 3-0)
125: Gage Curry (American) over Mike Macklin (Bucknell) (TF 16-0 4:22)

"Purdue 34, Indiana 3"
285: Jacob Aven (Purdue) over Fletcher Miller (Indiana) (Dec 6-2)
125: Luke Welch (Purdue) over Elijah Oliver (Indiana) (MD 12-4)
133: Ben Thornton (Purdue) over Garrett Pepple (Indiana) (Dec 3-2)
141: Nate Limmex (Purdue) over Cole Weaver (Indiana) (Dec 4-2)
149: Austin Nash (Purdue) over Alajandro Raya (Indiana) (Dec 6-4)
157: Griffin Parriott (Purdue) over Austin Holmes (Indiana) (Fall 3:42)
165: Jacob Morrissey (Purdue) over Dillion Hoey (Indiana) (MD 13-2)
174: Dylan Lydy (Purdue) over Devin Skatzka (Indiana) (Dec 8-5)
184: Norman Conley (Indiana) over Max Lyon (Purdue) (Dec 5-4)
197: Christian Brunner (Purdue) over Jake Kleimola (Indiana) (TF 17-2 5:54)

"Drexel 18, Rider 14"
125: Gerald (JR) Wert (Rider) over Zachary Fuentes (Drexel) (Dec 2-0)
133: Austin DeSanto (Drexel) over Anthony Cefelo (Rider) (Dec 10-6)
141: Tyson Dippery (Rider) over Julian Flores (Drexel) (Dec 3-2)
149: Gary Dinmore (Rider) over Evan Barczak (Drexel) (Dec 8-3)
157: Garett Hammond (Drexel) over Bryant Clagon (Rider) (Dec 7-2)
165: Chad Walsh (Rider) over Ebed Jarrell (Drexel) (TF 18-2 5:38)
174: Austin Rose (Drexel) over Dean Sherry (Rider) (Dec 5-4)
184: Alexander DeCiantis (Drexel) over Wayne Stinson (Rider) (Dec 7-6)
197: Stephen Loiseau (Drexel) over Ethan Laird (Rider) (Dec 7-0)
285: Sean O`Malley (Drexel) over Mauro Correnti (Rider) (Dec 3-2)

"Ohio 28, Gardner-Webb 10"
125: Trevor Giallombardo (OHIO) wins by forfeit
"133: Cam Kelly (OHIO) tech fall Philip Anderson (GWU), 16-1"
"141: Mario Guillen (OHIO) maj. dec. Landon LoAlbo (GWU), 10-2"
"149: Nick Vestal (OHIO) dec. Joby Armenta (GWU), 6-4"
"157: Tyler Marinelli (GWU) dec. Cullen Cummings  (OHIO), 6-4"
"165: Brett Stein (GWU) maj. dec. Joe Terry (OHIO), 16-6  "
"174: Austin Reese (OHIO) dec. Christian Maroni (GWU), 2-0"
"184: Hunter Yeargan (OHIO) dec. Cole Graves (GWU), 6-0"
"197: Anthony Perrine (GWU) dec Aaron Naples (OHIO), 9-8"
"285: Zack Parker (OHIO) maj. dec. Lathan Brumgarner (GWU), 12-4"

"Monday, February 5:"

"Oregon State 33, Fresno State 3"
"125: Ronnie Bresser (Oregon State) maj. dec. Sean Williams (Fresno State), 13-3"
"133: Devan Turner (Oregon State) dec. Trevor Williams (Fresno State), 8-4"
"141: Jack Hathaway (Oregon State) dec. Chris DeLoza (Fresno State), 10-6"
"149 Josh Reyes (Oregon State) dec. Khristian Oliva (Fresno State), 6-3"
"157: Hunter Willits (Oregon State) FALL Greg Gaxiola (Fresno State), 6:04"
"165: Isaiah Hokit (Fresno State) dec. Rodney Williams (Oregon State), 6-3"
"174: Myles Terry (Oregon State) dec. Dominic Kincaid (Fresno State), 6-3"
"184: Bob Coleman (Oregon State) dec. Richie Brandt (Fresno State), 11-7"
"197: #15 Corey Griego (Oregon State) maj. dec. Josh Hokit (Fresno State), 11-0"
"285: #8 Amar Dhesi (Oregon State) maj. dec. AJ Nevills (Fresno State), 19-6"


"Tuesday, February 6:"

"Navy 43, George Mason 0"
"125: Logan Treaster (NAVY) dec Ibrahim Bunduka (GMU), 6-3"
"133: Cody Trybus (NAVY) FALL Trevor Mello (GMU), 4:10"
"141: Jonathan Gabriel (NAVY) dec Jose Tapia (GMU), 6-5"
"149: Corey Wilding (NAVY) dec Tejon Anthony (GMU), 9-7"
"157: Zack Davis (NAVY) FALL Bryce Reddington (GMU), 1:32"
"165: Drew Daniels (NAVY) major dec Garrett Griffith (GMU), 10-1"
"174: AJ Alford (NAVY) FALL Levko Higgins (GMU), 4:19"
"184: Michael Coleman (NAVY) FALL Austin Harrison (GMU), 0:32"
"197: Steban Cervantes (NAVY) dec Eli Spencer (GMU), 9-7"
"285: Andrew Piehl (NAVY) dec Matthew Voss (GMU), 7-3"


"Wednesday, February 7:"

"Rider 22, Hofstra 21"
"125: J.R. Wert (Rider) maj. dec Jacob Martin (Hofstra), 10-0"
"133: Anthony Cefolo (Rider) dec Garrett Lambert (Hofstra), 6-2"
"141: Tyson Dippery (Rider) dec Vinny Vespa (Hofstra), 3-2"
"149: Gary Dinmore (Rider) dec Ryan Burkert (Hofstra), 3-2"
"157: Chris Mauriello (Hofstra) dec B.J. Clagon (Rider), 10-9"
"165: Chad Walsh (Rider) tech fall Ricky Stamm (Hofstra), 6:54"
"174: Sage Heller (Hofstra) FALL Dean Sherry (Rider), 3:34"
"184: Wayne Stinson (Rider) maj. dec Anthony Olivieri, 17-4"
197: Nezar Haddad (Hofstra) wins by forfeit
"285: Mike Hughes (Hofstra) wins By Medical Forfeit over Mauro Correnti (Rider), 0:12"


"Thursday, February 8:"

"Duke 25, Appalachian State 17"
174: Matt Finesilver (Duke) over Forrest Przybysz (Appalachian State) (MD 15-1)
184: Alan Clothier (Appalachian State) over Kaden Russell (Duke) (MD 17-5)
197: Randall Diabe (Appalachian State) over Alec Schenk (Duke) (Dec 8-3)
285: Jacob Kasper (Duke) over Cary Miller (Appalachian State) (TF 17-1 5:00)
125: Thayer Atkins (Duke) over DeAndre Swinson-Barr (Appalachian State) (Dec 4-2)
133: Josh Finesilver (Duke) over Codi Russell (Appalachian State) (Dec 10-8)
141: Irvin Enriquez (Appalachian State) over Jeremiah Reitz (Duke) (Fall 1:00)
149: Gavin Londoff (Appalachian State) over Brandon Leynaud (Duke) (MD 14-5)
157: Mitch Finesilver (Duke) over Angel Najar (Appalachian State) (TF 19-2 6:41)
165: Zach Finesilver (Duke) over Laken Cook (Appalachian State) (TF 16-1 5:48)

"Davidson 25, The Citadel 15"
125: Michael McClelland (Davidson) over William Jacobs (The Citadel) (TF 17-0 6:45)
133: Nicholas Long (The Citadel) over Zamir Ode (Davidson) (Fall 1:22)
141: Dustin Runzo (Davidson) over Douglas Gudenburr (The Citadel) (Dec 10-5)
149: Will Baldwin (Davidson) over Tyler Buckiso (The Citadel) (Inj. 3:59)
157: Rian Burris (The Citadel) over Tony Palumbo (Davidson) (Dec 6-2)
165: Hunter Costa (Davidson) over William Curtis (The Citadel) (Dec 8-7)
174: Noah Satterfield (Davidson) over Bradley Mewhorter (The Citadel) (MD 12-0)
184: Conor Fenn (Davidson) over Michael Lopouchanski (The Citadel) (MD 18-10)
197: Sawyer Root (The Citadel) over Konner Pritchard (Davidson) (Dec 5-2)
285: Michael McAleavey (The Citadel) over Will Cooley (Davidson) (Dec 6-4)

"Harvard 21, Brown 12"
125: Nolan Hellickson (Harvard) over Donald Keeley (Brown) (Dec 3-1)
133: Ryan Friedman (Harvard) over Hunter Kosco (Brown) (Dec 9-4)
141: Alexander Jaffe (Harvard) over Ezekiel Salvo (Brown) (TF 21-3 6:26)
149: Hunter Ladnier (Harvard) over Zach Krause (Brown) (MD 11-3)
157: Justin Staudenmayer (Brown) over Brock Wilson (Harvard) (Dec 3-0)
165: Tyler Tarsi (Harvard) over Jonathan Viruet (Brown) (Dec 5-3)
174: Josef Johnson (Harvard) over Bryce Rogers (Brown) (SV-1 3-1)
184: Christian LaFragola (Brown) over Kanon Dean (Harvard) (Dec 5-3)
197: Tucker Ziegler (Brown) over Clifton Wang (Harvard) (Dec 7-2)
285: Ian Butterbrodt (Brown) over Angus Cowell (Harvard) (SV-1 3-1)

"Friday, February 9:"

"Lehigh 22, Arizona State 13"
125: Darian Cruz (Lehigh) over Ryan Millhof (Arizona State) (Dec 8-3)
133: Scott Parker (Lehigh) over Ali Naser (Arizona State) (SV-1 6-4)
141: Luke Karam (Lehigh) over Nicholas Villarreal (Arizona State) (Dec 3-0)
149: Cortlandt Schuyler (Lehigh) over Jason Tsirtis (Arizona State) (MD 11-3)
157: Joshua Shields (Arizona State) over Ian Brown (Lehigh) (Dec 3-1)
165: Anthony Valencia (Arizona State) over Gordon Wolf (Lehigh) (MD 16-7)
174: Zahid Valencia (Arizona State) over Jordan Kutler (Lehigh) (Dec 11-4)
184: Ryan Preisch (Lehigh) over Kordell Norfleet (Arizona State) (MD 8-0)
197: Chris Weiler (Lehigh) over Cade Belshay (Arizona State) (TF 15-0 3:00)
